Model,MAE,RMSE,R²
Ridge,1.5588868250765024,2.1988642249234687,0.330605592773786
Linear,1.5624388944616006,2.1989083937281872,0.3305721559899172
Tree,1.3872243067724144,2.2859334428031635,0.2763372001928605
